event_id,item_id,sidx,loss
26,69,-5,67895.10
26,69,-3,150878.00
26,69,-2,3175.15
26,69,-1,483.79
26,70,-5,67895.10
26,70,-3,150878.00
26,70,-2,3175.15
26,70,-1,483.79
26,73,-5,33828.40
26,73,-3,75174.23
26,73,-2,1582.00
26,73,-1,241.05
26,74,-5,33828.40
26,74,-3,75174.23
26,74,-2,1582.00
26,74,-1,241.05
26,71,-5,9690.00
26,71,-3,25500.00
26,71,-2,816.35
26,71,-1,140.28
26,72,-5,9690.00
26,72,-3,25500.00
26,72,-2,816.35
26,72,-1,140.28
26,75,-5,4575.23
26,75,-3,12040.08
26,75,-2,385.45
26,75,-1,66.24
26,76,-5,4575.23
26,76,-3,12040.08
26,76,-2,385.45
26,76,-1,66.24
26,88,-5,0.00
26,88,-3,0.00
26,88,-2,0.00
26,88,-1,0.00
26,87,-5,575000.00
26,87,-3,575000.00
26,87,-2,32287.19
26,87,-1,6402.37
26,86,-5,5175.00
26,86,-3,7500.00
26,86,-2,591.23
26,86,-1,156.17
26,85,-5,0.00
26,85,-3,0.00
26,85,-2,0.00
26,85,-1,0.00
26,89,-5,0.00
26,89,-3,0.00
26,89,-2,0.00
26,89,-1,0.00
26,27,-5,0.00
26,27,-3,0.00
26,27,-2,0.00
26,27,-1,0.00
26,29,-5,18797.80
26,29,-3,32410.00
26,29,-2,1682.93
26,29,-1,601.66
26,30,-5,18797.80
26,30,-3,32410.00
26,30,-2,1682.93
26,30,-1,601.66
26,33,-5,0.00
26,33,-3,0.00
26,33,-2,0.00
26,33,-1,0.00
26,28,-5,20480.46
26,28,-3,26947.97
26,28,-2,2293.42
26,28,-1,887.68
26,31,-5,8499.08
26,31,-3,11183.00
26,31,-2,951.74
26,31,-1,368.37
26,32,-5,8499.08
26,32,-3,11183.00
26,32,-2,951.74
26,32,-1,368.37
26,34,-5,27360.00
26,34,-3,36000.00
26,34,-2,3063.80
26,34,-1,1185.85
26,66,-5,15215.00
26,66,-3,29833.33
26,66,-2,777.60
26,66,-1,91.24
26,67,-5,15215.00
26,67,-3,29833.33
26,67,-2,777.60
26,67,-1,91.24
26,68,-5,15215.00
26,68,-3,29833.33
26,68,-2,777.60
26,68,-1,91.24
26,61,-5,7111.37
26,61,-3,15459.50
26,61,-2,134.58
26,61,-1,9.79
26,62,-5,7111.37
26,62,-3,15459.50
26,62,-2,134.58
26,62,-1,9.79
26,57,-5,62611.79
26,57,-3,77298.50
26,57,-2,1512.45
26,57,-1,129.73
26,58,-5,62611.79
26,58,-3,77298.50
26,58,-2,1512.45
26,58,-1,129.73
26,63,-5,72309.25
26,63,-3,129123.66
26,63,-2,2482.61
26,63,-1,261.14
26,64,-5,72309.25
26,64,-3,129123.66
26,64,-2,2482.61
26,64,-1,261.14
26,65,-5,72309.25
26,65,-3,129123.66
26,65,-2,2482.61
26,65,-1,261.14
26,59,-5,13788.63
26,59,-3,25534.50
26,59,-2,469.74
26,59,-1,49.28
26,59,1,997.15
26,60,-5,13788.63
26,60,-3,25534.50
26,60,-2,469.74
