event_id,item_id,sidx,loss
1,1,-3,1000000.0
1,1,-1,65208.61411616682
1,1,1,35532.27196960162
1,1,2,7958.187208133128
1,2,-3,100000.0
1,2,-1,1619.6637577700735
1,2,1,805.7279276589502
1,2,2,4890.35823401694
1,3,-3,50000.0
1,3,-1,963.6774817724258
1,3,1,2277.782865957715
1,3,2,1138.788382827109
1,4,-3,20000.0
1,4,-1,984.2524665562576
1,4,1,1343.5710159072696
1,4,2,1762.1335917142762
1,5,-3,1000000.0
1,5,-1,59618.66972995969
1,5,1,9078.942246089338
1,5,2,44545.970963484615
1,6,-3,100000.0
1,6,-1,7627.770157048567
1,6,1,2602.1068286649684
1,6,2,2997.1673024336014
1,7,-3,50000.0
1,7,-1,1649.5665588502084
1,7,1,2228.165515743461
1,7,2,1841.4425665498047
1,8,-3,20000.0
1,8,-1,435.6399478420378
1,8,1,285.80588559837673
1,8,2,814.9169337007775
2,1,-3,1000000.0
2,1,-1,66596.28761440174
2,1,1,88828.31296175822
2,1,2,19047.425528310625
2,2,-3,100000.0
2,2,-1,9258.891184314229
2,2,1,8060.754234957522
2,2,2,9150.918308977649
2,3,-3,50000.0
2,3,-1,1223.7130331980584
2,3,1,1047.4214883615202
2,3,2,4370.56638155032
2,4,-3,20000.0
2,4,-1,50.910022154092346
2,4,1,326.5568808404953
2,4,2,1545.0146161177074
2,5,-3,1000000.0
2,5,-1,6471.495533875082
2,5,1,34312.53410546059
2,5,2,2596.511720358263
2,6,-3,100000.0
2,6,-1,9320.309334158805
2,6,1,3864.360065912649
2,6,2,928.6916628567199
2,7,-3,50000.0
2,7,-1,1763.086333048733
2,7,1,3248.813693742658
2,7,2,1757.7992897313734
2,8,-3,20000.0
2,8,-1,487.7711470916426
2,8,1,769.8132313589952
2,8,2,1796.2596786018557
3,1,-3,1000000.0
3,1,-1,14369.737232862733
3,1,1,15916.016369035447
3,1,2,87278.59265040526
3,2,-3,100000.0
3,2,-1,997.2292096014024
3,2,1,8066.059296301005
3,2,2,7633.101658296999
3,3,-3,50000.0
3,3,-1,3211.263043300884
3,3,1,1378.4999239682884
3,3,2,1304.6743589501941
3,4,-3,20000.0
3,4,-1,454.8363626822323
3,4,1,1470.162384063062
3,4,2,960.9855432011115
3,5,-3,1000000.0
3,5,-1,81606.10883494902
3,5,1,39310.48294023191
3,5,2,22863.101597412682
3,6,-3,100000.0
3,6,-1,2990.760655008756
3,6,1,7061.486971505237
3,6,2,9084.249552287727
3,7,-3,50000.0
3,7,-1,2771.6913409421827
3,7,1,4018.712358008409
3,7,2,3262.5197046820995
3,8,-3,20000.0
3,8,-1,1550.2771643508204
3,8,1,292.84232972729353
3,8,2,47.845716007689504
4,1,-3,1000000.0
4,1,-1,22341.487297485175
4,1,1,25259.639806935797
4,1,2,87538.25204540088
4,2,-3,100000.0
4,2,-1,30.591921322937754
4,2,1,8429.814634660996
4,2,2,8036.630913193677
4,3,-3,50000.0
4,3,-1,3929.398563637531
4,3,1,3383.369120282843
4,3,2,4833.6395795085
4,4,-3,20000.0
4,4,-1,1145.3288225084925
4,4,1,1985.4746704514343
4,4,2,10.205312489002251
4,5,-3,1000000.0
4,5,-1,99966.86549591225
4,5,1,56552.457010322185
4,5,2,40836.42900323411
4,6,-3,100000.0
4,6,-1,395.3053121388039
4,6,1,9727.832694569108
4,6,2,3670.2695375674843
4,7,-3,50000.0
4,7,-1,4855.437389295362
4,7,1,4855.219747010581
4,7,2,1404.7217018973136
4,8,-3,20000.0
4,8,-1,1916.3258897808998
4,8,1,1889.7427696480559
4,8,2,246.0575325143446
5,1,-3,1000000.0
5,1,-1,5742.387075389876
5,1,1,32735.49015242575
5,1,2,19066.234321362565
5,2,-3,100000.0
5,2,-1,9733.77284132833
5,2,1,2176.077292402555
5,2,2,6514.218186517352
5,3,-3,50000.0
5,3,-1,1820.2161396423933
5,3,1,1919.6700962654309
5,3,2,389.9795921559862
5,4,-3,20000.0
5,4,-1,1252.4954752559854
5,4,1,107.2806896687033
5,4,2,935.7597729282008
5,5,-3,1000000.0
5,5,-1,99074.11078534591
5,5,1,1342.453258993126
5,5,2,49826.61003120798
5,6,-3,100000.0
5,6,-1,9523.105470429093
5,6,1,8662.102683175317
5,6,2,5012.841852082088
5,7,-3,50000.0
5,7,-1,4546.819395123124
